timestamp,sender,receiver,amount,category
2024-12-14 17:00:00,Rohan,Neha,6670.89,payment
2024-12-15 17:00:00,Sahil,Neha,6252.15,refund
2024-12-15 19:30:00,Aryan,Neha,7877.41,transfer
2024-12-15 21:15:00,Priya,Rohan,7049.1,invoice
2024-12-16 09:15:00,Rohan,Aryan,4111.9,transfer
2024-12-16 12:15:00,Neha,Rohan,3607.78,refund
2024-12-16 16:00:00,Sahil,Neha,4965.64,payment
2024-12-16 20:45:00,Neha,Aisha,6709.66,refund
2024-12-16 22:30:00,Priya,Aryan,6150.01,invoice
2024-12-17 02:30:00,Vivek,Sahil,4446.46,payment
2024-12-17 04:45:00,Rohan,Neha,1424.48,refund
2024-12-17 08:00:00,Rohan,Aisha,7211.86,invoice
2024-12-17 12:15:00,Sahil,Priya,462.87,payment
2024-12-17 16:15:00,Aryan,Priya,4117.35,refund
2024-12-17 17:15:00,Aisha,Vivek,1062.05,invoice
2024-12-17 21:30:00,Sahil,Priya,3687.82,payment
2024-12-18 00:45:00,Neha,Aisha,3839.14,payment
2024-12-19 00:45:00,Neha,Sahil,3031.53,invoice
2024-12-19 01:45:00,Sahil,Neha,1092.9,payment
2024-12-19 08:30:00,Priya,Aryan,958.32,refund
2024-12-19 14:30:00,Sahil,Rohan,4189.25,transfer
2024-12-19 17:15:00,Aisha,Sahil,1491.21,transfer
2024-12-20 00:00:00,Neha,Aisha,6877.01,invoice
2024-12-20 01:30:00,Aisha,Vivek,2410.69,transfer
2024-12-20 05:45:00,Vivek,Neha,6444.37,refund
2024-12-21 06:00:00,Sahil,Aisha,4656.95,transfer
2024-12-21 08:30:00,Vivek,Priya,6889.75,payment
2024-12-21 21:15:00,Aisha,Neha,3064.58,transfer
2024-12-22 03:45:00,Aisha,Vivek,1766.01,invoice
2024-12-22 08:15:00,Aisha,Rohan,2283.47,transfer
2024-12-22 11:30:00,Priya,Sahil,3197.58,invoice
2024-12-22 14:45:00,Rohan,Vivek,7974.47,refund
2024-12-22 17:00:00,Priya,Rohan,5524.78,refund
2024-12-22 20:30:00,Aryan,Neha,2519.39,transfer
2024-12-23 20:30:00,Sahil,Aisha,6828.23,transfer
2024-12-23 23:45:00,Vivek,Rohan,7375.13,refund
2024-12-24 05:45:00,Priya,Sahil,2348.69,transfer
2024-12-24 18:30:00,Vivek,Neha,3005.77,refund
2024-12-24 21:15:00,Aryan,Priya,6628.01,transfer
2024-12-25 10:00:00,Sahil,Aryan,3609.68,transfer
2024-12-25 22:30:00,Priya,Sahil,1326.39,invoice
2024-12-26 00:15:00,Vivek,Aryan,4766.14,transfer
2024-12-26 02:30:00,Rohan,Aryan,5905.73,transfer
2024-12-26 05:30:00,Rohan,Neha,1861.19,invoice

